2022-09-13 12:20:51,188 INFO /home/anisha/.local/bin/bench --site erpnext.com install-app erpnext
2022-09-13 12:20:51,189 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:23:36,131 INFO /home/anisha/.local/bin/bench get-app hrms
2022-09-13 12:23:36,131 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:38,188 INFO /home/anisha/.local/bin/bench --site erpnext.com install-app erpnext
2022-09-13 12:24:38,188 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:55,796 INFO /home/anisha/.local/bin/bench start
2022-09-13 12:24:55,796 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:56,147 INFO /home/anisha/.local/bin/bench worker --queue short
2022-09-13 12:24:56,147 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:56,211 INFO /home/anisha/.local/bin/bench serve --port 8000
2022-09-13 12:24:56,212 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:56,215 INFO /home/anisha/.local/bin/bench worker --queue default
2022-09-13 12:24:56,215 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:56,216 INFO /home/anisha/.local/bin/bench schedule
2022-09-13 12:24:56,216 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:56,217 INFO /home/anisha/.local/bin/bench worker --queue long
2022-09-13 12:24:56,218 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:24:56,218 INFO /home/anisha/.local/bin/bench watch
2022-09-13 12:24:56,219 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:25:40,964 INFO /home/anisha/.local/bin/bench use erpnext.com
2022-09-13 12:25:40,964 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:25:53,746 INFO /home/anisha/.local/bin/bench start
2022-09-13 12:25:53,746 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:25:54,144 INFO /home/anisha/.local/bin/bench serve --port 8000
2022-09-13 12:25:54,144 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:25:54,148 INFO /home/anisha/.local/bin/bench schedule
2022-09-13 12:25:54,148 INFO /home/anisha/.local/bin/bench watch
2022-09-13 12:25:54,148 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:25:54,148 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:25:54,154 INFO /home/anisha/.local/bin/bench worker --queue short
